task,sigma_pa,sigma_pb,sigma_a_given_b,sigma_b_given_a,selected_policy,selected_weight,selected_lambda,oracle_full_family_method,oracle_full_family_nll,nll_j1,nll_j2,nll_arithmetic,nll_geometric,nll_hard_core,nll_soft_core_1,nll_selective_core
35,0.07449784504690941,0.6708278668166048,0.42656062133600425,0.20724223302885528,soft,0.0,0.03,soft_w0_l0.03,1.488739819109525,1.616620921911444,1.4888888727918883,1.5133214220435691,1.5171854115059082,1.6227653721834556,1.539180888877872,1.488739819109525
36,0.08354787743632189,0.06341681845624475,0.053480194517813474,0.05701750341006347,soft,0.0,1.0,arithmetic,1.4924142215301048,1.4930209184332952,1.4937988724612796,1.4924142215301048,1.4924152148350247,1.495346567345458,1.4930609505361943,1.493690951199492
37,0.6306711833606536,0.07854090678440791,0.12873007469121558,0.3580676204785379,j1_b_then_a,,,soft_w1_l0.03,1.5222263048549711,1.5222323721760214,1.6456956207609958,1.5482148842132977,1.5517996597809616,1.655597902453955,1.5772000259055987,1.5222323721760214
38,0.06058819222284649,0.2845449555019681,0.23135209620921954,0.06432506787659677,j2_a_then_b,,,soft_w0_l0.03,1.4581024569677299,1.4866983064272552,1.4581122351962035,1.464360317020223,1.4645470231406643,1.4881435990331904,1.4686956589815,1.4581122351962035
39,0.7176230542195778,0.3355974355496581,0.05506053095013947,0.05296837047657941,geometric,0.75,,geometric_w0.75,1.406869483893229,1.4097219087467052,1.504227734807419,1.418498361699819,1.4221994275944498,1.553338107105631,1.46231916811571,1.406869483893229
40,0.15908525781213162,0.3370764063104707,0.4996157463882046,0.29888215934186907,geometric,0.25,,soft_w0.25_l0.03,1.52157522365424,1.5841114397344618,1.5268332336747839,1.5288298584238584,1.5295830570760298,1.5594301246602367,1.531491166346317,1.521612449362361
41,0.07829503130137602,0.04904087167895863,0.18826523075760243,0.08703631185775895,mpr,1.0,,soft_w0.25_l0.3,1.303175069209888,1.3079904824401143,1.303983946124848,1.3037075203181931,1.3037151691743893,1.3050318268142607,1.3034554311660962,1.306477799645858
42,0.09021545862818592,0.2006214138925915,0.6631219057957213,0.09789597613208519,soft,0.0,0.1,soft_w0_l0.1,1.4305137842503035,1.524407036263601,1.4306483203585851,1.450850892442062,1.4527384199382318,1.448800028694587,1.445139018626194,1.4305137842503035
43,0.28236826778415713,0.5165311537080889,0.2619694793284045,0.43125034396443107,arithmetic,,,geometric_w0.5,1.4578368352284203,1.4922359113148747,1.479189905967688,1.4581823816783908,1.4578368352284203,1.5031821301802861,1.4731651884803314,1.4581823816783908
44,0.30457296448844723,0.07678465751348966,0.10364209366320533,0.574725744741642,soft,1.0,0.3,soft_w1_l0.1,1.5823608586045317,1.5824291142437648,1.6679783115379156,1.6005981946149135,1.6024132573926366,1.6172832218345576,1.6032059068347773,1.5830545438034571
45,0.10846987972879295,0.13774261480285688,0.1300450120077938,0.5198725897894829,soft,0.5,10.0,soft_w1_l1,1.4945987497890556,1.4955538200115106,1.5417218611358672,1.5026021507892497,1.5032801815355599,1.5040722532503321,1.499391198493407,1.5012961801894038
46,0.27310121232769613,0.3099833388709383,0.09506223711008413,0.2116461392651997,geometric,0.75,,arithmetic,1.4736941280441564,1.4851748599876826,1.4881504348930727,1.4736941280441564,1.4738138837824002,1.5143525220168084,1.484432333415342,1.4763027777140412
47,0.18368191176540594,0.1963882839582329,0.4744590232357324,0.10887903717040347,j2_a_then_b,,,soft_w0.25_l0.03,1.5007047045838404,1.5470725933314242,1.5018194099985747,1.5073626786154297,1.5079773505251528,1.5204038262764863,1.5067627641971282,1.5018194099985747
48,0.11531329114603589,0.44738803490948237,0.08770514046992892,0.3737973080016218,geometric,0.25,,arithmetic,1.5459740539851439,1.572993623856068,1.5573482730092953,1.5459740539851439,1.546421927373821,1.5898860417442366,1.5569666294643958,1.5471470139223231
49,0.07910028043227692,0.12633235431258757,0.04840432031021793,0.4876154672653808,j1_b_then_a,,,soft_w1_l0.3,1.4668849064907208,1.4672194483761853,1.506739249048483,1.4745957823270366,1.4751153858368018,1.4752302654863376,1.472616499438962,1.4672194483761853
50,0.054514543687984286,0.2268341715496154,0.0885836504916826,0.14706958106881213,geometric,0.25,,geometric_w0.25,1.515681587114925,1.5264633619676156,1.5168782184302159,1.5168646056785062,1.51687937035492,1.5323878009041072,1.519821111890743,1.515681587114925
51,0.34351080201050044,0.20263947862993412,0.07838859216955903,0.04210811004697454,j1_b_then_a,,,geometric_w0.75,1.4112844821897494,1.4146002494835301,1.4292288992390754,1.4124736217327127,1.412651727008427,1.4542777606189745,1.4217756384247662,1.4146002494835301
52,0.07309043187683899,0.11197458121683104,0.22599813718762748,0.18923576551068175,soft,0.5,0.3,soft_w0.25_l1,1.5793571785283684,1.5904801875966703,1.582480333355085,1.5803691606468198,1.5804030147419397,1.5805478391832795,1.5794806371929317,1.579748716875441
53,0.4911590273708109,0.24845907157179936,0.6055782513695108,0.21042249970661436,arithmetic,,,arithmetic,1.580107324189241,1.6278858725964918,1.611038992602274,1.580107324189241,1.5808637025022374,1.6601562198521411,1.5932905520762928,1.580107324189241
54,0.10704567037354588,0.6971491216311111,0.07441243668115846,0.26264707867862874,j2_a_then_b,,,soft_w0_l0.1,1.5188252754753626,1.6169893683066685,1.5191729840762191,1.5333010951822788,1.5365085177225397,1.665096271530553,1.565005191486308,1.5191729840762191
55,0.04559462767614875,0.11059374214603834,0.4585362640340724,0.3093992036781019,soft,0.5,1.0,soft_w0.25_l3,1.4492678224685072,1.4899163033423268,1.458657500153322,1.4577163155474322,1.458170669663995,1.4512706190062217,1.4519299711161222,1.4519299711161222
56,0.08511034256309355,0.6913968588721875,0.04920027077115293,0.24698721134778284,soft,0.0,0.03,soft_w0_l0.03,1.4541290460966558,1.5613702140298003,1.4543137096469179,1.4724371585684948,1.4764905029944155,1.6165843766057466,1.5058196824752745,1.4541290460966558
57,0.31201192655300847,0.242016287617259,0.04658045017142726,0.4854065372258676,soft,1.0,0.3,geometric_w0.75,1.5387609923609789,1.5413900840962227,1.5954705261999071,1.5465370301937718,1.5469383306303088,1.5915971565967075,1.5531865235933886,1.5411189754052261
58,0.1773790150504471,0.4702947290235632,0.04090776623976102,0.17238747042018152,geometric,0.25,,geometric_w0.25,1.5351511723286375,1.5681336605642167,1.5381832789182845,1.5386324663099493,1.5392211680470922,1.5869828901177492,1.553359890345336,1.5351511723286375
59,0.13140118718040744,0.378706463210598,0.14805207703514361,0.12435320734709585,geometric,0.25,,geometric_w0.25,1.526002165028212,1.5596492992786377,1.5268023509648156,1.5308945687560551,1.5312579488624902,1.5801221182768754,1.541035751222585,1.526002165028212
