dataset,model,fold,method,joint_nll,joint_brier,joint_ece_15,conditional_nll_a_given_b,conditional_nll_b_given_a,marginal_distortion,factorization_tv,selected_policy,selected_weight,selected_lambda,n_train,n_validation,n_test,stratification
anneal,tabpfn3,3,j1_b_then_a,0.2432475099607935,0.1391999110929843,0.0735432737270305,0.033725029558195,0.1982051014687357,0.0046836129439361,0.01901950178664,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,3,j2_a_then_b,0.2458935319577594,0.1423574780362797,0.0847678515628969,0.0400276554421153,0.1959791392694274,0.0060231228922068,0.01901950178664,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,3,independent,0.2594368730909304,0.1468507604770647,0.0645130617487324,0.0499143926883319,0.2095224804025985,3.650046287709052e-17,0.01901950178664,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,3,arithmetic,0.2437307801551689,0.1402044918043068,0.0737477535304231,0.036836022502453,0.1966649617638324,0.0053533679180714,0.01901950178664,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,3,geometric,0.2420456139765762,0.1396006349974394,0.0731478612841211,0.0356414600420062,0.1963165055353664,0.0053590397015703,0.01901950178664,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,3,hard_core,0.2495120426417831,0.1429659294088904,0.0599378208869728,0.0399895622391845,0.1995976499539341,1.9175098778343177e-13,0.01901950178664,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,3,soft_core_lambda_1,0.2452281117043478,0.1408707549502854,0.0609042826794035,0.0373558239770454,0.1977769714799674,0.0029105907517065,0.01901950178664,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,3,selective_core,0.2432475099607935,0.1391999110929843,0.0735432737270305,0.033725029558195,0.1982051014687357,0.0046836129439361,0.01901950178664,j1_b_then_a,,,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,4,j1_b_then_a,0.5354183704937521,0.256310912040559,0.0582219995710927,0.0799307890201136,0.4664172662511961,0.0055171233486854,0.0325793159401791,soft,0.0,3.0,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,4,j2_a_then_b,0.4960125045653331,0.2450059249425388,0.0686708714870876,0.0654869921724742,0.4277190914068106,0.0119530236675601,0.0325793159401791,soft,0.0,3.0,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,4,independent,0.5237809946321609,0.2546502048721092,0.0580405833221286,0.0682934131585225,0.4554875814736384,3.7112963650906433e-17,0.0325793159401791,soft,0.0,3.0,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,4,arithmetic,0.5099704286878282,0.249270037650087,0.0653292274707658,0.0694511910321359,0.4418442655820417,0.0087350735081227,0.0325793159401791,soft,0.0,3.0,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,4,geometric,0.5085492219986909,0.2499345054652082,0.0706193607284416,0.0684666946428213,0.4417995051483278,0.0091664099138537,0.0325793159401791,soft,0.0,3.0,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
anneal,tabpfn3,4,hard_core,0.5278641125640782,0.2549885277321386,0.0806446162300224,0.0723765310904397,0.4595706994064814,1.4145037798473925e-13,0.0325793159401791,soft,0.0,3.0,256,52,128,"joint(A,B); seed=42; train-class coverage checked"
