dataset,model,method,joint_nll_mean,joint_nll_sd,joint_brier_mean,factorization_tv_mean,marginal_distortion_mean,n_folds
nursery,catboost,hard_core,1.6321407334077325,0.08570817306135227,0.7668014729876436,0.09067801239857952,7.60716106263954e-13,5
nursery,catboost,independent,2.2252039184690893,0.06537328848104286,0.8760209243120733,0.09067801239857952,4.2392304944183223e-17,5
nursery,catboost,j1_b_then_a,1.5817838765752978,0.07584951430827613,0.7613365433154998,0.09067801239857952,0.03425152105321696,5
nursery,catboost,j2_a_then_b,1.6006522401554766,0.07850251862510238,0.7655866258051522,0.09067801239857952,0.03238379970544666,5
nursery,catboost,selective_core,1.5922837827024474,0.08345353504102244,0.7629388842249345,0.09067801239857952,0.02654459002081646,5
nursery,catboost,soft_core_lambda_1,1.5880464015683788,0.0768740056622843,0.7621771288916077,0.09067801239857952,0.02722864521173024,5
nursery,tabiclv2,arithmetic,1.3635050018726407,0.07105904842208993,0.7361991452370032,0.11394082141714094,0.03991700821313968,5
nursery,tabiclv2,geometric,1.3636549760422843,0.07283128617430593,0.7374366287811835,0.11394082141714094,0.04116126118192094,5
nursery,tabiclv2,hard_core,1.4414832047146109,0.09896503653748949,0.7462161897986466,0.11394082141714094,1.4348669317925194e-12,5
nursery,tabiclv2,independent,2.111662348262884,0.08991716109135212,0.8687509569627636,0.11394082141714094,3.3484972645306005e-17,5
nursery,tabiclv2,j1_b_then_a,1.3836825506115182,0.10468508592094239,0.7449362842541423,0.11394082141714094,0.039733699491622,5
nursery,tabiclv2,j2_a_then_b,1.3769680412167176,0.05474987655605074,0.7366833780746129,0.11394082141714094,0.04010031693465744,5
nursery,tabiclv2,selective_core,1.385429971523186,0.10132927224640605,0.7461451892996811,0.11394082141714094,0.0343843725587938,5
nursery,tabiclv2,soft_core_lambda_1,1.3710954612967532,0.07472517883234825,0.7396673280310561,0.11394082141714094,0.0316727747856703,5
nursery,tabpfn3,arithmetic,1.3635487933058283,0.05202336771428726,0.7294868312627608,0.0965827708957432,0.03273496075966348,5
nursery,tabpfn3,geometric,1.3613327850429218,0.05413311935870845,0.7297694593500677,0.0965827708957432,0.03396279451219954,5
nursery,tabpfn3,hard_core,1.4219683225187523,0.06905186214950837,0.7332863808221048,0.0965827708957432,1.3246517132590999e-11,5
nursery,tabpfn3,independent,2.0819064466741692,0.06434093741600899,0.8609553301633863,0.0965827708957432,3.322087438979701e-17,5
nursery,tabpfn3,j1_b_then_a,1.3424076360708106,0.048385923495101665,0.7228821515262809,0.0965827708957432,0.034095857006529826,5
nursery,tabpfn3,j2_a_then_b,1.4035981553178938,0.05851835352786667,0.7422194268773354,0.0965827708957432,0.031374064512797215,5
nursery,tabpfn3,selective_core,1.3445409919524374,0.047629672660340294,0.7234474081923198,0.0965827708957432,0.03363394930018594,5
nursery,tabpfn3,soft_core_lambda_1,1.3669264433837358,0.05628959018609434,0.7299604065094871,0.0965827708957432,0.026393038927220197,5
phishing,catboost,arithmetic,1.0510740671223495,0.08603413159545381,0.47684918237217955,0.10598557026306066,0.033407199440695576,5
phishing,catboost,geometric,1.0462004085471746,0.08569134497481679,0.475238560508798,0.10598557026306066,0.03221477222690462,5
phishing,catboost,hard_core,1.0666406484731392,0.08543940368971824,0.4782258529281105,0.10598557026306066,2.425394371560925e-13,5
phishing,catboost,independent,1.2075630947854123,0.10286597009434015,0.5242910692057777,0.10598557026306066,3.507800603805289e-17,5
phishing,catboost,j1_b_then_a,1.0750117375625954,0.08856054657471549,0.4809538721179554,0.10598557026306066,0.030929331860229958,5
phishing,catboost,j2_a_then_b,1.0469005399123579,0.08511478484533327,0.47955759511862467,0.10598557026306066,0.03588506702116126,5
phishing,catboost,selective_core,1.0418280004788811,0.08570041556955375,0.47433938140259996,0.10598557026306066,0.024155369830773897,5
phishing,catboost,soft_core_lambda_1,1.0476198191421873,0.08576945656801592,0.47403259456399266,0.10598557026306066,0.01955174520877976,5
phishing,tabiclv2,arithmetic,0.8316104629244367,0.11558886597528684,0.39495359207221226,0.07503317657983137,0.026963940749725378,5
phishing,tabiclv2,geometric,0.8330059129637425,0.11913769276893783,0.3954980955279938,0.07503317657983137,0.026932420144915557,5
phishing,tabiclv2,hard_core,0.8821964891024576,0.11920786850050101,0.40859585059173964,0.07503317657983137,1.6990420011037248e-13,5
phishing,tabiclv2,independent,0.9934324813810711,0.1599620795009464,0.4370166969966123,0.07503317657983137,2.936014189134826e-17,5
phishing,tabiclv2,j1_b_then_a,0.8407465468161227,0.1332539112561405,0.39652823091134803,0.07503317657983137,0.0253717763433982,5
