regime,seed,gamma,method,factorization_tv,joint_nll,joint_brier,tv_to_truth,marginal_distortion,reconciliation_distortion,tax_vs_best_order,tax_vs_selected_order,soft_weight,soft_lambda,pool_weight,selected_order_name,selected_policy
asymmetric_j1_good,41,2.0,independent,0.08434852351458944,1.6715669543449947,0.7293118504454428,0.2727277392911724,4.027610493381739e-17,0.06974961091601982,0.25908256129539575,0.25908256129539575,1.0,0.3,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,41,2.0,arithmetic,0.08434852351458944,1.4083579351139752,0.671677624301612,0.041912217471153576,0.023382501388554133,0.00193128300600482,-0.004126457935623717,-0.004126457935623717,1.0,0.3,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,41,2.0,geometric,0.08434852351458944,1.4077624587616047,0.6715177178218426,0.042142643240257786,0.023609315308599717,0.0019328743401289873,-0.004721934287994278,-0.004721934287994278,1.0,0.3,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,41,2.0,weighted_geometric,0.08434852351458944,1.412484393049599,0.6732075883200969,0.028978290442699697,0.014850825763368006,0.00381409380684949,0.0,0.0,1.0,0.3,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,41,2.0,hard_core,0.08434852351458944,1.417783436173306,0.6739813313121761,0.04434826288013656,7.074185573267833e-14,0.004076235274867438,0.005299043123706992,0.005299043123706992,1.0,0.3,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,41,2.0,adaptive_soft,0.08434852351458944,1.4123855652764528,0.6730276550326384,0.027432123253324458,0.01315499572888907,0.003675152366949904,-9.882777314618174e-05,-9.882777314618174e-05,1.0,0.3,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,41,2.0,selective_core,0.08434852351458944,1.412484393049599,0.6732075883200969,0.028978290442699697,0.014850825763368002,0.0038140938068494893,0.0,0.0,1.0,0.3,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,42,2.0,j1,0.08366680469494682,1.4161620080223543,0.6763386818017523,0.02763408336775918,0.01478606008572731,0.0038551286962426436,0.0,0.0,0.75,1.0,0.75,j1_b_then_a,soft
asymmetric_j1_good,42,2.0,j2,0.08366680469494682,1.445104902935501,0.6833877682706079,0.07838235866884616,0.030050440281784118,0.0038551286962426436,0.02894289491314672,0.02894289491314672,0.75,1.0,0.75,j1_b_then_a,soft
asymmetric_j1_good,42,2.0,selected_order,0.08366680469494682,1.4161620080223543,0.6763386818017523,0.02763408336775918,0.01478606008572731,0.0038551286962426436,0.0,0.0,0.75,1.0,0.75,j1_b_then_a,soft
asymmetric_j1_good,42,2.0,independent,0.08366680469494682,1.6408949798523496,0.7187663444501502,0.22592875703589915,4.043568932921189e-17,0.05512389007419883,0.2247329718299953,0.2247329718299953,0.75,1.0,0.75,j1_b_then_a,soft
asymmetric_j1_good,42,2.0,arithmetic,0.08366680469494682,1.4223384969252213,0.6773678426549736,0.0421909688741498,0.02241825018375569,0.001953166450627778,0.006176488902867039,0.006176488902867039,0.75,1.0,0.75,j1_b_then_a,soft
asymmetric_j1_good,42,2.0,geometric,0.08366680469494682,1.42279510360826,0.6775897822647671,0.04246651745054056,0.02257279077289654,0.0019548596723098213,0.006633095585905746,0.006633095585905746,0.75,1.0,0.75,j1_b_then_a,soft
asymmetric_j1_good,42,2.0,weighted_geometric,0.08366680469494682,1.4174983483779684,0.6763721989795836,0.029543660221633287,0.01868377428067946,0.002423548128712626,0.0013363403556141407,0.0013363403556141407,0.75,1.0,0.75,j1_b_then_a,soft
asymmetric_j1_good,42,2.0,hard_core,0.08366680469494682,1.4254944235359448,0.6779592070601166,0.044164919407857495,2.0218792677433038e-14,0.00377298503433839,0.009332415513590542,0.009332415513590542,0.75,1.0,0.75,j1_b_then_a,soft
asymmetric_j1_good,42,2.0,adaptive_soft,0.08366680469494682,1.4185991458819813,0.6767393194151984,0.030578736575634962,0.0112804300287411,0.002688316981714326,0.00243713785962707,0.00243713785962707,0.75,1.0,0.75,j1_b_then_a,soft
asymmetric_j1_good,42,2.0,selective_core,0.08366680469494682,1.4185991458819813,0.6767393194151984,0.030578736575634962,0.0112804300287411,0.002688316981714326,0.00243713785962707,0.00243713785962707,0.75,1.0,0.75,j1_b_then_a,soft
asymmetric_j1_good,43,2.0,j1,0.08992388943128898,1.4201929828920874,0.663499810569858,0.027521387623684005,0.013791214174375774,0.004185215303441012,0.0,0.0,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,43,2.0,j2,0.08992388943128898,1.4516874573140774,0.6762977921600357,0.08540765693620517,0.03314773973158398,0.004185215303441012,0.03149447442199005,0.03149447442199005,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,43,2.0,selected_order,0.08992388943128898,1.4201929828920874,0.663499810569858,0.027521387623684005,0.013791214174375774,0.004185215303441012,0.0,0.0,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,43,2.0,independent,0.08992388943128898,1.6136388002647464,0.7028080387701273,0.21193334368498568,4.157672783597463e-17,0.05728128723564758,0.19344581737265898,0.19344581737265898,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,43,2.0,arithmetic,0.08992388943128898,1.4268689627801137,0.6669949072434181,0.045279797200883765,0.023469476952979854,0.0021186723516008047,0.006675979888026262,0.006675979888026262,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,43,2.0,geometric,0.08992388943128898,1.4274355875721094,0.6670753247342076,0.04572930442731548,0.023733928860275966,0.0021202316423462693,0.0072426046800220245,0.0072426046800220245,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,43,2.0,weighted_geometric,0.08992388943128898,1.4201929828920874,0.6634998105698581,0.027521387623684005,0.013791214174375777,0.004185215303441009,0.0,0.0,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,43,2.0,hard_core,0.08992388943128898,1.4187980494552375,0.6623764353460376,0.04384547945469536,2.299216271245866e-14,0.004159629896673784,-0.0013949334368499322,-0.0013949334368499322,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,43,2.0,adaptive_soft,0.08992388943128898,1.4201249976379968,0.663474176342432,0.027425222363984276,0.01371630990411328,0.004177831535734547,-6.798525409057454e-05,-6.798525409057454e-05,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,43,2.0,selective_core,0.08992388943128898,1.4201929828920874,0.663499810569858,0.027521387623684005,0.013791214174375774,0.004185215303441012,0.0,0.0,1.0,0.01,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,44,2.0,j1,0.08986387831593923,1.5014901087074968,0.6988517380440405,0.028697452899534362,0.015572005814996966,0.004229805772425051,0.0,0.0,1.0,0.03,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,44,2.0,j2,0.08986387831593923,1.5326730582968506,0.7069503175301247,0.08501926066144076,0.031997961282988464,0.004229805772425051,0.03118294958935386,0.03118294958935386,1.0,0.03,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,44,2.0,selected_order,0.08986387831593923,1.5014901087074968,0.6988517380440405,0.028697452899534362,0.015572005814996966,0.004229805772425051,0.0,0.0,1.0,0.03,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,44,2.0,independent,0.08986387831593923,1.6994329770952805,0.740511781351259,0.22703224748465856,4.227047111318195e-17,0.05864045703965295,0.19794286838778374,0.19794286838778374,1.0,0.03,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,44,2.0,arithmetic,0.08986387831593923,1.507681115895905,0.7002578606040861,0.04550571509691825,0.02378498354899269,0.0021424706545509144,0.0061910071884081486,0.0061910071884081486,1.0,0.03,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,44,2.0,geometric,0.08986387831593923,1.5084805366989247,0.7003581048490432,0.045759771289743637,0.024025801686962764,0.0021441029452449,0.0069904279914279055,0.0069904279914279055,1.0,0.03,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,44,2.0,weighted_geometric,0.08986387831593923,1.5014901087074968,0.6988517380440405,0.028697452899534362,0.015572005814996967,0.00422980577242505,0.0,0.0,1.0,0.03,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,44,2.0,hard_core,0.08986387831593923,1.5068419658540466,0.6998226057924194,0.04709411344426064,5.501913451539547e-14,0.0041616292618413975,0.005351857146549843,0.005351857146549843,1.0,0.03,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,44,2.0,adaptive_soft,0.08986387831593923,1.5014128785057617,0.6988094324890906,0.02842633895563367,0.015324988413787669,0.004204989101827331,-7.72302017351123e-05,-7.72302017351123e-05,1.0,0.03,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,44,2.0,selective_core,0.08986387831593923,1.5014901087074968,0.6988517380440405,0.028697452899534362,0.015572005814996966,0.004229805772425051,0.0,0.0,1.0,0.03,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,45,2.0,j1,0.09282030571013015,1.5276094297722618,0.7073981280380144,0.029207569023135156,0.01567534916264455,0.004321742522870032,0.0,0.0,1.0,0.3,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,45,2.0,j2,0.09282030571013015,1.5437341213265854,0.7134092524680119,0.08699997829867963,0.03331822749582529,0.004321742522870032,0.01612469155432361,0.01612469155432361,1.0,0.3,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,45,2.0,selected_order,0.09282030571013015,1.5276094297722618,0.7073981280380144,0.029207569023135156,0.01567534916264455,0.004321742522870032,0.0,0.0,1.0,0.3,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,45,2.0,independent,0.09282030571013015,1.6983691515303923,0.7420625820091659,0.25324543431020086,4.330487791276427e-17,0.059377836006335755,0.17075972175813048,0.17075972175813048,1.0,0.3,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,45,2.0,arithmetic,0.09282030571013015,1.5280351329158925,0.7075733834691986,0.0459283476165468,0.024496788329234895,0.0021883560913058277,0.00042570314363077344,0.00042570314363077344,1.0,0.3,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,45,2.0,geometric,0.09282030571013015,1.526888400735937,0.7074157886627427,0.04620040240451753,0.024727483156034426,0.0021901420436468834,-0.0007210290363248717,-0.0007210290363248717,1.0,0.3,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,45,2.0,weighted_geometric,0.09282030571013015,1.5276094297722618,0.7073981280380144,0.029207569023135156,0.015675349162644552,0.004321742522870031,0.0,0.0,1.0,0.3,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,45,2.0,hard_core,0.09282030571013015,1.5291446437430392,0.7076419175041837,0.04702058611166465,3.511831773192302e-14,0.00416724386316932,0.0015352139707773826,0.0015352139707773826,1.0,0.3,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,45,2.0,adaptive_soft,0.09282030571013015,1.5272801571922447,0.7073252217356497,0.027918384799890332,0.013642450996535788,0.004171128882657652,-0.000329272580017026,-0.000329272580017026,1.0,0.3,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,45,2.0,selective_core,0.09282030571013015,1.5276094297722618,0.7073981280380144,0.029207569023135156,0.01567534916264455,0.004321742522870032,0.0,0.0,1.0,0.3,1.0,j1_b_then_a,j1_b_then_a
asymmetric_j1_good,46,2.0,j1,0.09291633079249839,1.496117535824264,0.690368594582679,0.027657193081133805,0.014247043394918175,0.004439629500491382,0.0,0.0,0.75,0.01,0.75,j1_b_then_a,geometric
asymmetric_j1_good,46,2.0,j2,0.09291633079249839,1.5277864596021258,0.7029730797096331,0.08854311713727174,0.03417224499259677,0.004439629500491382,0.03166892377786179,0.03166892377786179,0.75,0.01,0.75,j1_b_then_a,geometric
asymmetric_j1_good,46,2.0,selected_order,0.09291633079249839,1.496117535824264,0.690368594582679,0.027657193081133805,0.014247043394918175,0.004439629500491382,0.0,0.0,0.75,0.01,0.75,j1_b_then_a,geometric
asymmetric_j1_good,46,2.0,independent,0.09291633079249839,1.6439093401062874,0.7196812219411445,0.1792318968036346,4.3449259760821453e-17,0.043439757468263555,0.14779180428202343,0.14779180428202343,0.75,0.01,0.75,j1_b_then_a,geometric
asymmetric_j1_good,46,2.0,arithmetic,0.09291633079249839,1.502857444429519,0.6936224365193819,0.04665821291131311,0.024209644193757457,0.00224654564593531,0.006739908605255085,0.006739908605255085,0.75,0.01,0.75,j1_b_then_a,geometric
asymmetric_j1_good,46,2.0,geometric,0.09291633079249839,1.5029297166199875,0.6937487815418999,0.047163837872565,0.024428823904593132,0.002247962292948811,0.006812180795723544,0.006812180795723544,0.75,0.01,0.75,j1_b_then_a,geometric
asymmetric_j1_good,46,2.0,weighted_geometric,0.09291633079249839,1.497245820690825,0.6913247403468156,0.03092233672409811,0.019354290521043874,0.0027891808876961905,0.0011282848665610246,0.0011282848665610246,0.75,0.01,0.75,j1_b_then_a,geometric
asymmetric_j1_good,46,2.0,hard_core,0.09291633079249839,1.503685384388747,0.6926468160917111,0.045215907804271774,2.8316487982258787e-14,0.004121760883802245,0.007567848564483004,0.007567848564483004,0.75,0.01,0.75,j1_b_then_a,geometric
asymmetric_j1_good,46,2.0,adaptive_soft,0.09291633079249839,1.4972511292574495,0.691323933317037,0.03086924643096439,0.01918695539842233,0.0027920337466561277,0.0011335934331855313,0.0011335934331855313,0.75,0.01,0.75,j1_b_then_a,geometric
asymmetric_j1_good,46,2.0,selective_core,0.09291633079249839,1.497245820690825,0.6913247403468156,0.03092233672409811,0.019354290521043874,0.0027891808876961905,0.0011282848665610246,0.0011282848665610246,0.75,0.01,0.75,j1_b_then_a,geometric
asymmetric_j1_good,47,2.0,j1,0.09288301612273392,1.578821679748264,0.7222855161395275,0.030987203307032994,0.015275625477128997,0.004359888888146825,0.0,0.0,0.75,1.0,0.75,j1_b_then_a,soft
asymmetric_j1_good,47,2.0,j2,0.09288301612273392,1.5963854646528899,0.7269169048339174,0.08801379892553135,0.03352558517413756,0.004359888888146825,0.017563784904625956,0.017563784904625956,0.75,1.0,0.75,j1_b_then_a,soft
asymmetric_j1_good,47,2.0,selected_order,0.09288301612273392,1.578821679748264,0.7222855161395275,0.030987203307032994,0.015275625477128997,0.004359888888146825,0.0,0.0,0.75,1.0,0.75,j1_b_then_a,soft
asymmetric_j1_good,47,2.0,independent,0.09288301612273392,1.7732000648792814,0.760809626548808,0.23805570596319012,4.2379582509315466e-17,0.0615470901621395,0.19437838513101746,0.19437838513101746,0.75,1.0,0.75,j1_b_then_a,soft
asymmetric_j1_good,47,2.0,arithmetic,0.09288301612273392,1.5779185196529901,0.7218277605705216,0.047584892138099896,0.02440060532563326,0.002207037384348672,-0.0009031600952738028,-0.0009031600952738028,0.75,1.0,0.75,j1_b_then_a,soft
asymmetric_j1_good,47,2.0,geometric,0.09288301612273392,1.578741551435651,0.7217630975212553,0.04822631183852146,0.024786853829116374,0.002208634079059899,-8.012831261283715e-05,-8.012831261283715e-05,0.75,1.0,0.75,j1_b_then_a,soft
asymmetric_j1_good,47,2.0,weighted_geometric,0.09288301612273392,1.5765174200217646,0.7212812909843301,0.03361446205514778,0.02009772967533062,0.00272991224109856,-0.0023042597264992803,-0.0023042597264992803,0.75,1.0,0.75,j1_b_then_a,soft
asymmetric_j1_good,47,2.0,hard_core,0.09288301612273392,1.5834259949071257,0.7229486974945503,0.04853198211335275,5.861285925098339e-14,0.004097386848970434,0.004604315158861727,0.004604315158861727,0.75,1.0,0.75,j1_b_then_a,soft
asymmetric_j1_good,47,2.0,adaptive_soft,0.09288301612273392,1.57744017430116,0.721435236928291,0.03446262956396809,0.011788452179845017,0.0030462916532653654,-0.0013815054471040256,-0.0013815054471040256,0.75,1.0,0.75,j1_b_then_a,soft
asymmetric_j1_good,47,2.0,selective_core,0.09288301612273392,1.57744017430116,0.721435236928291,0.03446262956396809,0.011788452179845017,0.0030462916532653654,-0.0013815054471040256,-0.0013815054471040256,0.75,1.0,0.75,j1_b_then_a,soft
asymmetric_j1_good,48,2.0,j1,0.0955298515195135,1.5348579305448806,0.7112711536879509,0.028310371265368367,0.01469921726959166,0.004551544088301955,0.0,0.0,0.75,0.1,0.75,j1_b_then_a,soft
asymmetric_j1_good,48,2.0,j2,0.0955298515195135,1.5633960189951122,0.7198093600944275,0.09104262146231648,0.03368303504820818,0.004551544088301955,0.028538088450231536,0.028538088450231536,0.75,0.1,0.75,j1_b_then_a,soft
asymmetric_j1_good,48,2.0,selected_order,0.0955298515195135,1.5348579305448806,0.7112711536879509,0.028310371265368367,0.01469921726959166,0.004551544088301955,0.0,0.0,0.75,0.1,0.75,j1_b_then_a,soft
