regime,seed,n,d,k,gamma,factorization_tv,selected_order_name,selected_pool_weight,selected_soft_weight,selected_soft_lambda,method,expected_nll,expected_brier,tv_to_truth,js_to_truth,marginal_distortion
j2_reliable,19,3000,12,3,2.0,0.18202144820934146,j2_a_then_b,0.0,0.0,0.03,arithmetic,1.4597909001915053,0.6764872629232216,0.09147963408694626,0.0077238314404830975,0.057928432076555056
j2_reliable,19,3000,12,3,2.0,0.18202144820934146,j2_a_then_b,0.0,0.0,0.03,geometric,1.4625242075836868,0.6769817756528553,0.09346007661493089,0.008101407345868988,0.057347965924614705
j2_reliable,19,3000,12,3,2.0,0.18202144820934146,j2_a_then_b,0.0,0.0,0.03,weighted_geometric,1.4321665326786104,0.6660014165978929,0.026867122182484677,0.0006692451458803479,0.06508855876987471
j2_reliable,19,3000,12,3,2.0,0.18202144820934146,j2_a_then_b,0.0,0.0,0.03,hard_core,1.5208287952756496,0.6922310675534239,0.13807999319603312,0.021189008585048977,1.5431563330591732e-14
j2_reliable,19,3000,12,3,2.0,0.18202144820934146,j2_a_then_b,0.0,0.0,0.03,soft_core_0.1,1.4639705140269883,0.6774312324189001,0.09529774813020911,0.008443683153179999,0.05321123863379197
j2_reliable,19,3000,12,3,2.0,0.18202144820934146,j2_a_then_b,0.0,0.0,0.03,soft_core_1,1.476339382512997,0.6810106927473148,0.107566996241413,0.011318038187881357,0.03337021989191664
j2_reliable,19,3000,12,3,2.0,0.18202144820934146,j2_a_then_b,0.0,0.0,0.03,soft_core_10,1.507885702201405,0.6891014049289047,0.13045960341221408,0.018382847841171,0.007528150372120529
j2_reliable,19,3000,12,3,2.0,0.18202144820934146,j2_a_then_b,0.0,0.0,0.03,adaptive_soft,1.432193367643433,0.666009438383052,0.02701249249545548,0.0006759541904932427,0.06382295916342746
j2_reliable,20,3000,12,3,2.0,0.18565494092286944,j2_a_then_b,0.0,0.0,0.1,j1,1.5966823925306797,0.7353422600313557,0.18413440896443367,0.02962059957484236,0.05848869710726816
j2_reliable,20,3000,12,3,2.0,0.18565494092286944,j2_a_then_b,0.0,0.0,0.1,j2,1.4729708536319068,0.6916645985598934,0.028305703368341262,0.0006998908373045521,0.05334007952486534
j2_reliable,20,3000,12,3,2.0,0.18565494092286944,j2_a_then_b,0.0,0.0,0.1,selected_order,1.4729708536319068,0.6916645985598934,0.028305703368341262,0.0006998908373045521,0.05334007952486534
